date,rainfall,soil_moisture,temperature,sar_proxy,sar_calibrated_moisture,sar_corrected_moisture,needs_irrigation,irrigation_amount,projected_moisture
2023-01-01,0.0,0.65,19.37,150.9873,0.6142407877039138,0.639272236311174,0,0.0,0.65
2023-01-02,0.0,0.65,19.3,,,0.65,0,0.0,0.65
2023-01-03,0.0,0.65,19.95,,,0.65,0,0.0,0.65
2023-01-04,0.0,0.65,19.85,,,0.65,0,0.0,0.65
2023-01-05,0.0,0.65,20.9,,,0.65,0,0.0,0.65
2023-01-06,0.0,0.64,20.64,,,0.64,0,0.0,0.64
2023-01-07,0.0,0.64,19.63,,,0.64,0,0.0,0.64
2023-01-08,0.0,0.64,17.79,,,0.64,0,0.0,0.64
2023-01-09,0.0,0.64,18.03,,,0.64,0,0.0,0.64
2023-01-10,0.0,0.64,19.14,,,0.64,0,0.0,0.64
2023-01-11,0.0,0.63,19.59,,,0.63,0,0.0,0.63
2023-01-12,0.0,0.63,18.5,,,0.63,0,0.0,0.63
2023-01-13,0.0,0.63,18.41,,,0.63,0,0.0,0.63
2023-01-14,0.0,0.63,18.31,,,0.63,0,0.0,0.63
2023-01-15,0.0,0.63,20.37,,,0.63,0,0.0,0.63
2023-01-16,0.0,0.63,19.99,,,0.63,0,0.0,0.63
2023-01-17,0.0,0.62,20.97,,,0.62,0,0.0,0.62
2023-01-18,0.0,0.62,22.04,,,0.62,0,0.0,0.62
2023-01-19,0.0,0.62,22.18,,,0.62,0,0.0,0.62
2023-01-20,0.0,0.62,21.06,,,0.62,0,0.0,0.62
2023-01-21,0.0,0.62,20.9,,,0.62,0,0.0,0.62
2023-01-22,0.0,0.62,20.91,,,0.62,0,0.0,0.62
2023-01-23,0.0,0.62,21.0,,,0.62,0,0.0,0.62
2023-01-24,1.93,0.62,21.36,,,0.62,0,0.0,0.62
2023-01-25,2.51,0.62,21.54,,,0.62,0,0.0,0.62
2023-01-26,0.11,0.62,22.86,,,0.62,0,0.0,0.62
2023-01-27,0.0,0.62,21.78,,,0.62,0,0.0,0.62
2023-01-28,0.0,0.62,21.96,,,0.62,0,0.0,0.62
2023-01-29,0.0,0.61,22.35,,,0.61,0,0.0,0.61
2023-01-30,0.0,0.61,22.82,,,0.61,0,0.0,0.61
2023-01-31,0.0,0.61,22.69,,,0.61,0,0.0,0.61
2023-02-01,0.0,0.61,22.0,,,0.61,0,0.0,0.61
2023-02-02,0.0,0.61,20.66,,,0.61,0,0.0,0.61
2023-02-03,0.0,0.61,20.58,,,0.61,0,0.0,0.61
2023-02-04,0.0,0.61,21.42,,,0.61,0,0.0,0.61
2023-02-05,0.0,0.6,23.15,,,0.6,0,0.0,0.6
2023-02-06,0.0,0.6,22.37,,,0.6,0,0.0,0.6
2023-02-07,0.0,0.6,21.94,,,0.6,0,0.0,0.6
2023-02-08,0.0,0.6,22.59,,,0.6,0,0.0,0.6
2023-02-09,0.0,0.6,23.76,,,0.6,0,0.0,0.6
2023-02-10,0.0,0.6,24.51,,,0.6,0,0.0,0.6
2023-02-11,0.0,0.6,23.73,,,0.6,0,0.0,0.6
2023-02-12,0.0,0.6,23.27,,,0.6,0,0.0,0.6
2023-02-13,0.0,0.6,22.61,,,0.6,0,0.0,0.6
2023-02-14,0.0,0.6,23.24,,,0.6,0,0.0,0.6
2023-02-15,0.0,0.6,23.84,,,0.6,0,0.0,0.6
2023-02-16,0.0,0.6,24.5,,,0.6,0,0.0,0.6
2023-02-17,0.0,0.6,24.51,,,0.6,0,0.0,0.6
2023-02-18,0.0,0.59,24.22,143.0176,0.6011619579158187,0.5933485873747456,1,0.040000000000000036,0.63
2023-02-19,0.0,0.59,25.0,,,0.59,1,0.040000000000000036,0.63
2023-02-20,0.0,0.59,26.92,,,0.59,1,0.040000000000000036,0.63
2023-02-21,0.0,0.59,26.0,,,0.59,1,0.040000000000000036,0.63
2023-02-22,0.0,0.59,25.39,,,0.59,1,0.040000000000000036,0.63
2023-02-23,0.0,0.59,25.06,,,0.59,1,0.040000000000000036,0.63
2023-02-24,0.0,0.59,24.98,,,0.59,1,0.040000000000000036,0.63
2023-02-25,0.0,0.59,25.34,,,0.59,1,0.040000000000000036,0.63
2023-02-26,0.0,0.59,25.45,,,0.59,1,0.040000000000000036,0.63
2023-02-27,0.0,0.59,26.29,,,0.59,1,0.040000000000000036,0.63
2023-02-28,0.0,0.59,26.31,,,0.59,1,0.040000000000000036,0.63
2023-03-01,0.0,0.59,26.65,,,0.59,1,0.040000000000000036,0.63
2023-03-02,0.0,0.59,26.4,,,0.59,1,0.040000000000000036,0.63
2023-03-03,0.0,0.59,27.26,,,0.59,1,0.040000000000000036,0.63
2023-03-04,0.0,0.59,27.96,,,0.59,1,0.040000000000000036,0.63
2023-03-05,0.52,0.59,27.44,,,0.59,1,0.040000000000000036,0.63
2023-03-06,3.08,0.59,27.02,,,0.59,1,0.040000000000000036,0.63
2023-03-07,0.21,0.6,25.7,,,0.6,0,0.0,0.6
2023-03-08,0.28,0.6,26.51,,,0.6,0,0.0,0.6
2023-03-09,0.0,0.6,25.95,,,0.6,0,0.0,0.6
2023-03-10,0.0,0.6,26.53,,,0.6,0,0.0,0.6
2023-03-11,0.0,0.6,26.84,,,0.6,0,0.0,0.6
2023-03-12,0.0,0.6,27.7,,,0.6,0,0.0,0.6
2023-03-13,0.0,0.59,27.35,,,0.59,1,0.040000000000000036,0.63
2023-03-14,0.0,0.59,27.7,142.0011,0.5994938109994231,0.5928481432998269,1,0.040000000000000036,0.63
2023-03-15,0.84,0.6,27.92,,,0.6,0,0.0,0.6
2023-03-16,3.17,0.6,25.37,,,0.6,0,0.0,0.6
2023-03-17,1.82,0.6,24.34,,,0.6,0,0.0,0.6
2023-03-18,3.95,0.61,24.64,,,0.61,0,0.0,0.61
2023-03-19,0.33,0.61,23.98,,,0.61,0,0.0,0.61
2023-03-20,0.12,0.6,23.76,,,0.6,0,0.0,0.6
2023-03-21,0.31,0.6,24.13,,,0.6,0,0.0,0.6
2023-03-22,0.0,0.6,24.7,,,0.6,0,0.0,0.6
2023-03-23,0.0,0.6,24.94,,,0.6,0,0.0,0.6
2023-03-24,0.0,0.6,26.22,,,0.6,0,0.0,0.6
2023-03-25,0.0,0.6,26.12,,,0.6,0,0.0,0.6
2023-03-26,0.0,0.6,26.13,,,0.6,0,0.0,0.6
2023-03-27,0.0,0.6,25.89,,,0.6,0,0.0,0.6
2023-03-28,0.0,0.59,26.84,,,0.59,1,0.040000000000000036,0.63
2023-03-29,0.0,0.59,27.57,,,0.59,1,0.040000000000000036,0.63
2023-03-30,0.0,0.59,27.16,,,0.59,1,0.040000000000000036,0.63
2023-03-31,0.03,0.59,26.2,,,0.59,1,0.040000000000000036,0.63
2023-04-01,0.0,0.59,26.2,,,0.59,1,0.040000000000000036,0.63
2023-04-02,0.0,0.59,27.21,,,0.59,1,0.040000000000000036,0.63
2023-04-03,0.0,0.59,27.75,,,0.59,1,0.040000000000000036,0.63
2023-04-04,0.0,0.59,29.32,,,0.59,1,0.040000000000000036,0.63
2023-04-05,0.0,0.59,30.3,,,0.59,1,0.040000000000000036,0.63
2023-04-06,0.01,0.59,30.57,,,0.59,1,0.040000000000000036,0.63
2023-04-07,1.88,0.59,29.81,142.663,0.6005800347514765,0.5931740104254429,1,0.040000000000000036,0.63
2023-04-08,2.41,0.6,26.46,,,0.6,0,0.0,0.6
2023-04-09,0.87,0.6,29.34,,,0.6,0,0.0,0.6
2023-04-10,0.11,0.6,30.33,,,0.6,0,0.0,0.6
2023-04-11,0.03,0.6,32.16,,,0.6,0,0.0,0.6
2023-04-12,0.0,0.6,32.05,,,0.6,0,0.0,0.6
2023-04-13,0.16,0.6,30.7,,,0.6,0,0.0,0.6
2023-04-14,1.12,0.6,30.34,,,0.6,0,0.0,0.6
2023-04-15,0.43,0.6,27.95,,,0.6,0,0.0,0.6
2023-04-16,0.14,0.6,31.84,,,0.6,0,0.0,0.6
2023-04-17,0.0,0.6,32.58,,,0.6,0,0.0,0.6
2023-04-18,0.0,0.59,33.03,,,0.59,1,0.040000000000000036,0.63
2023-04-19,0.04,0.59,33.5,,,0.59,1,0.040000000000000036,0.63
2023-04-20,1.05,0.59,32.08,,,0.59,1,0.040000000000000036,0.63
2023-04-21,0.0,0.59,30.6,,,0.59,1,0.040000000000000036,0.63
2023-04-22,0.01,0.59,29.36,,,0.59,1,0.040000000000000036,0.63
2023-04-23,0.0,0.59,30.24,,,0.59,1,0.040000000000000036,0.63
2023-04-24,0.0,0.59,30.96,,,0.59,1,0.040000000000000036,0.63
2023-04-25,0.0,0.59,31.67,,,0.59,1,0.040000000000000036,0.63
2023-04-26,0.07,0.59,29.47,,,0.59,1,0.040000000000000036,0.63
2023-04-27,0.08,0.59,30.27,,,0.59,1,0.040000000000000036,0.63
2023-04-28,19.4,0.62,27.93,,,0.62,0,0.0,0.62
2023-04-29,7.73,0.64,27.52,,,0.64,0,0.0,0.64
2023-04-30,0.25,0.63,27.32,,,0.63,0,0.0,0.63
2023-05-01,0.18,0.62,26.37,,,0.62,0,0.0,0.62
2023-05-02,0.32,0.62,27.92,,,0.62,0,0.0,0.62
2023-05-03,2.09,0.61,28.37,,,0.61,0,0.0,0.61
2023-05-04,2.52,0.61,28.4,,,0.61,0,0.0,0.61
2023-05-05,0.04,0.61,29.23,,,0.61,0,0.0,0.61
2023-05-06,0.04,0.61,29.23,,,0.61,0,0.0,0.61
2023-05-07,3.0,0.61,28.69,,,0.61,0,0.0,0.61
2023-05-08,0.48,0.61,30.44,,,0.61,0,0.0,0.61
2023-05-09,1.62,0.61,31.29,,,0.61,0,0.0,0.61
2023-05-10,0.4,0.6,32.21,,,0.6,0,0.0,0.6
2023-05-11,0.0,0.6,32.32,,,0.6,0,0.0,0.6
2023-05-12,0.0,0.6,32.55,,,0.6,0,0.0,0.6
2023-05-13,0.0,0.6,33.06,144.1183,0.6029682828650335,0.60089048485951,0,0.0,0.6
2023-05-14,0.0,0.6,32.01,,,0.6,0,0.0,0.6
2023-05-15,0.0,0.6,31.02,,,0.6,0,0.0,0.6
2023-05-16,0.0,0.6,30.67,,,0.6,0,0.0,0.6
2023-05-17,0.0,0.6,32.16,,,0.6,0,0.0,0.6
2023-05-18,0.0,0.59,32.66,,,0.59,1,0.040000000000000036,0.63
2023-05-19,0.0,0.59,33.45,,,0.59,1,0.040000000000000036,0.63
2023-05-20,0.0,0.59,33.12,,,0.59,1,0.040000000000000036,0.63
2023-05-21,0.0,0.59,33.27,,,0.59,1,0.040000000000000036,0.63
2023-05-22,0.13,0.59,33.76,,,0.59,1,0.040000000000000036,0.63
2023-05-23,0.0,0.59,33.69,,,0.59,1,0.040000000000000036,0.63
2023-05-24,0.0,0.59,32.5,,,0.59,1,0.040000000000000036,0.63
2023-05-25,0.82,0.59,31.3,,,0.59,1,0.040000000000000036,0.63
2023-05-26,0.53,0.59,30.51,,,0.59,1,0.040000000000000036,0.63
2023-05-27,0.0,0.59,30.76,,,0.59,1,0.040000000000000036,0.63
2023-05-28,0.0,0.59,31.95,,,0.59,1,0.040000000000000036,0.63
2023-05-29,0.25,0.59,33.17,,,0.59,1,0.040000000000000036,0.63
2023-05-30,0.16,0.59,32.82,,,0.59,1,0.040000000000000036,0.63
2023-05-31,0.01,0.59,33.47,,,0.59,1,0.040000000000000036,0.63
2023-06-01,0.23,0.59,32.84,,,0.59,1,0.040000000000000036,0.63
2023-06-02,0.2,0.59,31.29,,,0.59,1,0.040000000000000036,0.63
2023-06-03,0.4,0.59,30.92,,,0.59,1,0.040000000000000036,0.63
2023-06-04,0.99,0.6,30.5,,,0.6,0,0.0,0.6
2023-06-05,0.11,0.6,30.91,,,0.6,0,0.0,0.6
2023-06-06,0.0,0.59,31.95,,,0.59,1,0.040000000000000036,0.63
2023-06-07,0.0,0.59,32.04,,,0.59,1,0.040000000000000036,0.63
2023-06-08,3.04,0.59,32.62,,,0.59,1,0.040000000000000036,0.63
2023-06-09,0.44,0.6,31.6,,,0.6,0,0.0,0.6
2023-06-10,4.69,0.6,29.71,,,0.6,0,0.0,0.6
2023-06-11,0.0,0.6,30.02,,,0.6,0,0.0,0.6
2023-06-12,0.0,0.6,30.81,,,0.6,0,0.0,0.6
2023-06-13,0.05,0.6,30.26,,,0.6,0,0.0,0.6
2023-06-14,0.12,0.6,30.03,,,0.6,0,0.0,0.6
2023-06-15,0.01,0.6,30.2,,,0.6,0,0.0,0.6
2023-06-16,0.04,0.6,30.3,,,0.6,0,0.0,0.6
2023-06-17,0.01,0.6,29.95,,,0.6,0,0.0,0.6
2023-06-18,0.0,0.6,30.0,147.2775,0.6081527489135108,0.6024458246740532,0,0.0,0.6
2023-06-19,0.0,0.6,30.31,,,0.6,0,0.0,0.6
2023-06-20,0.0,0.59,30.74,,,0.59,1,0.040000000000000036,0.63
2023-06-21,0.0,0.59,30.37,,,0.59,1,0.040000000000000036,0.63
2023-06-22,0.0,0.59,30.43,,,0.59,1,0.040000000000000036,0.63
2023-06-23,0.04,0.59,29.96,,,0.59,1,0.040000000000000036,0.63
2023-06-24,7.36,0.6,27.92,,,0.6,0,0.0,0.6
2023-06-25,2.39,0.61,27.16,,,0.61,0,0.0,0.61
2023-06-26,4.36,0.62,24.7,,,0.62,0,0.0,0.62
2023-06-27,9.4,0.62,24.12,,,0.62,0,0.0,0.62
2023-06-28,4.54,0.63,25.55,,,0.63,0,0.0,0.63
2023-06-29,2.98,0.63,25.45,,,0.63,0,0.0,0.63
2023-06-30,3.66,0.63,25.68,,,0.63,0,0.0,0.63
2023-07-01,1.83,0.63,26.28,,,0.63,0,0.0,0.63
2023-07-02,27.43,0.66,26.66,,,0.66,0,0.0,0.66
2023-07-03,8.04,0.68,27.15,,,0.68,0,0.0,0.68
2023-07-04,15.78,0.69,26.31,,,0.69,0,0.0,0.69
2023-07-05,4.62,0.69,25.62,,,0.69,0,0.0,0.69
2023-07-06,6.82,0.7,25.66,,,0.7,0,0.0,0.7
2023-07-07,5.72,0.7,25.81,,,0.7,0,0.0,0.7
2023-07-08,0.57,0.69,26.12,,,0.69,0,0.0,0.69
2023-07-09,0.19,0.69,25.21,,,0.69,0,0.0,0.69
2023-07-10,0.29,0.68,26.57,,,0.68,0,0.0,0.68
2023-07-11,2.06,0.68,26.2,,,0.68,0,0.0,0.68
2023-07-12,3.34,0.68,25.35,,,0.68,0,0.0,0.68
2023-07-13,1.55,0.68,25.29,,,0.68,0,0.0,0.68
2023-07-14,0.45,0.67,25.91,,,0.67,0,0.0,0.67
2023-07-15,2.43,0.67,25.89,,,0.67,0,0.0,0.67
2023-07-16,1.92,0.67,25.36,,,0.67,0,0.0,0.67
2023-07-17,1.67,0.67,25.92,,,0.67,0,0.0,0.67
2023-07-18,12.04,0.68,25.59,,,0.68,0,0.0,0.68
2023-07-19,2.98,0.69,25.67,,,0.69,0,0.0,0.69
2023-07-20,1.2,0.69,24.34,,,0.69,0,0.0,0.69
2023-07-21,4.93,0.69,24.33,,,0.69,0,0.0,0.69
2023-07-22,2.17,0.69,24.66,,,0.69,0,0.0,0.69
2023-07-23,3.8,0.69,25.91,,,0.69,0,0.0,0.69
2023-07-24,4.08,0.69,26.28,190.031,0.678314204093169,0.6864942612279507,0,0.0,0.69
2023-07-25,12.85,0.71,24.87,,,0.71,0,0.0,0.71
2023-07-26,1.51,0.71,25.01,,,0.71,0,0.0,0.71
2023-07-27,14.93,0.72,24.63,,,0.72,0,0.0,0.72
2023-07-28,6.01,0.73,24.7,,,0.73,0,0.0,0.73
2023-07-29,1.42,0.72,25.68,,,0.72,0,0.0,0.72
2023-07-30,1.84,0.71,25.7,,,0.71,0,0.0,0.71
2023-07-31,1.7,0.71,26.25,,,0.71,0,0.0,0.71
2023-08-01,1.39,0.71,26.01,,,0.71,0,0.0,0.71
2023-08-02,0.15,0.7,24.82,,,0.7,0,0.0,0.7
2023-08-03,0.62,0.7,24.85,,,0.7,0,0.0,0.7
2023-08-04,1.22,0.7,25.58,,,0.7,0,0.0,0.7
2023-08-05,1.42,0.69,25.27,,,0.69,0,0.0,0.69
2023-08-06,0.33,0.69,25.77,,,0.69,0,0.0,0.69
2023-08-07,0.07,0.68,25.48,,,0.68,0,0.0,0.68
2023-08-08,0.27,0.68,25.72,,,0.68,0,0.0,0.68
2023-08-09,0.45,0.68,25.22,,,0.68,0,0.0,0.68
2023-08-10,0.37,0.67,26.09,,,0.67,0,0.0,0.67
2023-08-11,0.26,0.67,26.23,,,0.67,0,0.0,0.67
2023-08-12,0.33,0.67,25.97,,,0.67,0,0.0,0.67
2023-08-13,0.39,0.66,24.47,,,0.66,0,0.0,0.66
2023-08-14,0.24,0.66,25.79,,,0.66,0,0.0,0.66
2023-08-15,3.45,0.66,25.37,,,0.66,0,0.0,0.66
2023-08-16,0.18,0.66,26.16,,,0.66,0,0.0,0.66
2023-08-17,0.34,0.66,26.16,167.5306,0.641389489014301,0.6544168467042902,0,0.0,0.66
2023-08-18,1.25,0.66,24.92,,,0.66,0,0.0,0.66
2023-08-19,1.81,0.66,25.1,,,0.66,0,0.0,0.66
2023-08-20,1.96,0.66,25.54,,,0.66,0,0.0,0.66
2023-08-21,0.53,0.65,25.98,,,0.65,0,0.0,0.65
2023-08-22,1.05,0.65,25.82,,,0.65,0,0.0,0.65
2023-08-23,0.09,0.65,25.61,,,0.65,0,0.0,0.65
2023-08-24,0.5,0.65,26.1,,,0.65,0,0.0,0.65
2023-08-25,1.21,0.65,26.33,,,0.65,0,0.0,0.65
2023-08-26,1.5,0.64,26.4,,,0.64,0,0.0,0.64
2023-08-27,1.92,0.64,26.47,,,0.64,0,0.0,0.64
2023-08-28,0.72,0.64,26.13,,,0.64,0,0.0,0.64
2023-08-29,0.3,0.64,26.91,,,0.64,0,0.0,0.64
2023-08-30,1.05,0.63,27.09,,,0.63,0,0.0,0.63
2023-08-31,0.22,0.63,27.5,,,0.63,0,0.0,0.63
2023-09-01,4.61,0.63,28.29,,,0.63,0,0.0,0.63
2023-09-02,4.12,0.64,27.42,,,0.64,0,0.0,0.64
2023-09-03,5.24,0.64,26.88,,,0.64,0,0.0,0.64
2023-09-04,0.55,0.64,26.38,,,0.64,0,0.0,0.64
2023-09-05,0.0,0.64,26.74,,,0.64,0,0.0,0.64
2023-09-06,2.05,0.64,26.74,,,0.64,0,0.0,0.64
2023-09-07,5.99,0.64,24.39,,,0.64,0,0.0,0.64
2023-09-08,9.87,0.66,24.92,,,0.66,0,0.0,0.66
2023-09-09,4.33,0.66,25.88,,,0.66,0,0.0,0.66
2023-09-10,1.69,0.66,25.76,,,0.66,0,0.0,0.66
2023-09-11,0.06,0.65,26.8,,,0.65,0,0.0,0.65
2023-09-12,0.0,0.65,26.33,,,0.65,0,0.0,0.65
2023-09-13,0.5,0.65,25.91,,,0.65,0,0.0,0.65
2023-09-14,1.58,0.64,24.84,,,0.64,0,0.0,0.64
2023-09-15,2.04,0.65,24.8,,,0.65,0,0.0,0.65
2023-09-16,0.49,0.64,24.67,,,0.64,0,0.0,0.64
2023-09-17,0.48,0.64,26.1,,,0.64,0,0.0,0.64
2023-09-18,1.57,0.64,26.49,,,0.64,0,0.0,0.64
2023-09-19,0.34,0.64,26.88,,,0.64,0,0.0,0.64
2023-09-20,0.81,0.63,27.42,,,0.63,0,0.0,0.63
2023-09-21,26.08,0.66,25.76,,,0.66,0,0.0,0.66
2023-09-22,11.1,0.68,25.12,206.3105,0.7050299913292373,0.6875089973987711,0,0.0,0.68
2023-09-23,17.02,0.7,24.25,,,0.7,0,0.0,0.7
2023-09-24,2.35,0.71,24.76,,,0.71,0,0.0,0.71
2023-09-25,6.29,0.7,25.53,,,0.7,0,0.0,0.7
2023-09-26,22.31,0.72,25.66,,,0.72,0,0.0,0.72
2023-09-27,6.66,0.73,25.2,,,0.73,0,0.0,0.73
2023-09-28,10.4,0.74,25.09,,,0.74,0,0.0,0.74
2023-09-29,11.51,0.74,25.44,,,0.74,0,0.0,0.74
2023-09-30,3.12,0.74,25.64,,,0.74,0,0.0,0.74
2023-10-01,9.77,0.74,25.83,,,0.74,0,0.0,0.74
2023-10-02,6.06,0.75,23.73,,,0.75,0,0.0,0.75
2023-10-03,0.11,0.74,25.06,,,0.74,0,0.0,0.74
2023-10-04,0.0,0.73,24.25,,,0.73,0,0.0,0.73
2023-10-05,0.0,0.72,23.99,,,0.72,0,0.0,0.72
2023-10-06,0.0,0.72,24.5,,,0.72,0,0.0,0.72
2023-10-07,0.0,0.71,25.23,,,0.71,0,0.0,0.71
2023-10-08,0.0,0.7,25.43,,,0.7,0,0.0,0.7
2023-10-09,0.0,0.7,25.61,,,0.7,0,0.0,0.7
2023-10-10,0.0,0.69,25.23,,,0.69,0,0.0,0.69
2023-10-11,0.0,0.69,25.39,,,0.69,0,0.0,0.69
2023-10-12,0.0,0.68,25.65,,,0.68,0,0.0,0.68
2023-10-13,0.0,0.68,25.93,,,0.68,0,0.0,0.68
2023-10-14,0.0,0.67,25.81,,,0.67,0,0.0,0.67
2023-10-15,0.0,0.67,25.93,,,0.67,0,0.0,0.67
2023-10-16,0.0,0.67,25.78,166.1509,0.639125305737812,0.6607375917213436,0,0.0,0.67
2023-10-17,0.4,0.67,25.81,,,0.67,0,0.0,0.67
2023-10-18,0.04,0.66,25.81,,,0.66,0,0.0,0.66
2023-10-19,0.02,0.66,25.81,,,0.66,0,0.0,0.66
2023-10-20,0.0,0.66,25.56,,,0.66,0,0.0,0.66
2023-10-21,0.0,0.65,25.14,,,0.65,0,0.0,0.65
2023-10-22,0.0,0.65,24.72,,,0.65,0,0.0,0.65
2023-10-23,0.0,0.65,24.95,,,0.65,0,0.0,0.65
2023-10-24,0.0,0.65,24.66,,,0.65,0,0.0,0.65
2023-10-25,0.0,0.64,23.64,,,0.64,0,0.0,0.64
2023-10-26,0.0,0.64,22.69,,,0.64,0,0.0,0.64
2023-10-27,0.0,0.64,22.79,,,0.64,0,0.0,0.64
2023-10-28,0.0,0.64,22.85,,,0.64,0,0.0,0.64
2023-10-29,0.0,0.63,23.04,,,0.63,0,0.0,0.63
2023-10-30,0.0,0.63,21.98,,,0.63,0,0.0,0.63
2023-10-31,0.0,0.63,22.22,,,0.63,0,0.0,0.63
2023-11-01,0.0,0.63,22.65,,,0.63,0,0.0,0.63
2023-11-02,0.0,0.62,22.91,,,0.62,0,0.0,0.62
2023-11-03,0.0,0.62,23.64,,,0.62,0,0.0,0.62
2023-11-04,0.0,0.62,24.37,,,0.62,0,0.0,0.62
2023-11-05,0.0,0.62,24.09,,,0.62,0,0.0,0.62
2023-11-06,0.0,0.62,23.8,,,0.62,0,0.0,0.62
2023-11-07,0.21,0.62,24.75,,,0.62,0,0.0,0.62
2023-11-08,1.46,0.62,24.32,,,0.62,0,0.0,0.62
2023-11-09,0.07,0.62,24.83,159.7912,0.6286885974798665,0.6226065792439599,0,0.0,0.62
2023-11-10,3.58,0.62,23.42,,,0.62,0,0.0,0.62
2023-11-11,0.0,0.62,24.42,,,0.62,0,0.0,0.62
2023-11-12,0.0,0.62,23.81,,,0.62,0,0.0,0.62
2023-11-13,0.0,0.62,23.54,,,0.62,0,0.0,0.62
2023-11-14,0.0,0.61,23.25,,,0.61,0,0.0,0.61
2023-11-15,0.0,0.61,22.55,,,0.61,0,0.0,0.61
2023-11-16,0.0,0.61,22.1,,,0.61,0,0.0,0.61
2023-11-17,0.0,0.61,22.11,,,0.61,0,0.0,0.61
2023-11-18,0.0,0.61,23.68,,,0.61,0,0.0,0.61
2023-11-19,0.0,0.61,25.24,,,0.61,0,0.0,0.61
2023-11-20,0.0,0.61,24.37,,,0.61,0,0.0,0.61
2023-11-21,0.0,0.6,22.87,,,0.6,0,0.0,0.6
2023-11-22,0.0,0.6,22.6,,,0.6,0,0.0,0.6
2023-11-23,0.0,0.6,24.3,,,0.6,0,0.0,0.6
2023-11-24,0.0,0.6,25.05,,,0.6,0,0.0,0.6
2023-11-25,0.21,0.6,24.83,,,0.6,0,0.0,0.6
2023-11-26,14.19,0.61,23.43,,,0.61,0,0.0,0.61
2023-11-27,5.72,0.64,23.83,,,0.64,0,0.0,0.64
2023-11-28,3.26,0.64,24.25,,,0.64,0,0.0,0.64
2023-11-29,2.26,0.64,23.81,,,0.64,0,0.0,0.64
2023-11-30,12.31,0.64,23.96,,,0.64,0,0.0,0.64
2023-12-01,2.81,0.65,23.62,,,0.65,0,0.0,0.65
2023-12-02,0.02,0.65,23.7,,,0.65,0,0.0,0.65
2023-12-03,0.0,0.64,23.78,,,0.64,0,0.0,0.64
2023-12-04,0.0,0.64,23.5,,,0.64,0,0.0,0.64
2023-12-05,0.0,0.63,22.49,,,0.63,0,0.0,0.63
2023-12-06,0.01,0.63,21.53,,,0.63,0,0.0,0.63
2023-12-07,0.0,0.63,21.78,,,0.63,0,0.0,0.63
2023-12-08,0.0,0.63,21.54,,,0.63,0,0.0,0.63
2023-12-09,0.0,0.62,21.3,,,0.62,0,0.0,0.62
2023-12-10,0.0,0.62,20.84,,,0.62,0,0.0,0.62
2023-12-11,0.0,0.62,21.31,,,0.62,0,0.0,0.62
2023-12-12,0.0,0.62,21.75,,,0.62,0,0.0,0.62
2023-12-13,0.0,0.62,21.49,,,0.62,0,0.0,0.62
2023-12-14,0.0,0.61,20.49,,,0.61,0,0.0,0.61
2023-12-15,0.0,0.61,19.51,,,0.61,0,0.0,0.61
2023-12-16,0.0,0.61,19.82,,,0.61,0,0.0,0.61
2023-12-17,0.0,0.61,20.63,,,0.61,0,0.0,0.61
2023-12-18,0.0,0.61,20.08,,,0.61,0,0.0,0.61
2023-12-19,0.0,0.61,17.79,,,0.61,0,0.0,0.61
2023-12-20,0.0,0.61,18.66,,,0.61,0,0.0,0.61
2023-12-21,0.0,0.61,19.32,,,0.61,0,0.0,0.61
2023-12-22,0.0,0.6,21.54,,,0.6,0,0.0,0.6
2023-12-23,0.0,0.6,21.57,,,0.6,0,0.0,0.6
2023-12-24,0.0,0.6,21.22,,,0.6,0,0.0,0.6
2023-12-25,0.0,0.6,21.37,,,0.6,0,0.0,0.6
2023-12-26,0.0,0.6,21.57,,,0.6,0,0.0,0.6
2023-12-27,0.0,0.6,21.47,155.0176,0.6208547891964367,0.6062564367589309,0,0.0,0.6
2023-12-28,0.0,0.6,21.68,,,0.6,0,0.0,0.6
2023-12-29,0.0,0.6,22.39,,,0.6,0,0.0,0.6
2023-12-30,0.0,0.6,22.67,,,0.6,0,0.0,0.6
2023-12-31,0.0,0.6,22.53,,,0.6,0,0.0,0.6
